GOID	Ontology	Definition	Level
GO:0000750	BP	pheromone-dependent signal transduction involved in conjugation with cellular fusion	5
GO:0000751	BP	cell cycle arrest in response to pheromone	4
GO:0000752	BP	agglutination involved in conjugation with cellular fusion	4
GO:0000753	BP	cell morphogenesis involved in conjugation with cellular fusion	4
GO:0000754	BP	adaptation of signaling pathway by response to pheromone involved in conjugation with cellular fusion	5
GO:0000755	BP	cytogamy	5
GO:0000756	BP	response to pheromone involved in conjugation with mutual genetic exchange	4
GO:0000757	BP	signal transduction involved in conjugation with mutual genetic exchange	5
GO:0000758	BP	agglutination involved in conjugation with mutual genetic exchange	5
GO:0000759	BP	cell morphogenesis involved in conjugation with mutual genetic exchange	5
GO:0000760	BP	adaptation to pheromone involved in conjugation with mutual genetic exchange	5
GO:0000761	BP	conjugant formation	5
GO:0000762	BP	pheromone-induced unidirectional conjugation	5
GO:0000765	BP	response to pheromone involved in pheromone-induced unidirectional conjugation	6
GO:0000766	BP	negative adaptation of signaling pathway by response to pheromone involved in pheromone-induced unidirectional conjugation	6
GO:0000767	BP	cell morphogenesis involved in conjugation	4
GO:0000768	BP	syncytium formation by plasma membrane fusion	4
GO:0000769	BP	syncytium formation by mitosis without cytokinesis	4
GO:0000770	BP	peptide pheromone export	6
GO:0000771	BP	agglutination involved in conjugation	4
GO:0000772	MF	mating pheromone activity	6
GO:0000773	MF	phosphatidyl-N-methylethanolamine N-methyltransferase activity	7
GO:0000774	MF	adenyl-nucleotide exchange factor activity	5
GO:0000775	CC	chromosome, centromeric region	5
GO:0000776	CC	kinetochore	4
GO:0000777	CC	condensed chromosome kinetochore	5
GO:0000778	CC	condensed nuclear chromosome kinetochore	6
GO:0000779	CC	condensed chromosome, centromeric region	6
GO:0000780	CC	condensed nuclear chromosome, centromeric region	6
GO:0000781	CC	chromosome, telomeric region	5
GO:0000782	CC	telomere cap complex	4
GO:0000783	CC	nuclear telomere cap complex	5
GO:0000784	CC	nuclear chromosome, telomeric region	6
GO:0000785	CC	chromatin	5
GO:0000786	CC	nucleosome	4
GO:0000787	CC	cytoplasmic nucleosome	5
GO:0000788	CC	nuclear nucleosome	5
GO:0000789	CC	cytoplasmic chromatin	5
GO:0000790	CC	nuclear chromatin	6
GO:0000791	CC	euchromatin	6
GO:0000792	CC	heterochromatin	6
GO:0000793	CC	condensed chromosome	6
GO:0000794	CC	condensed nuclear chromosome	6
GO:0000795	CC	synaptonemal complex	6
GO:0000796	CC	condensin complex	4
GO:0000797	CC	condensin core heterodimer	4
GO:0000798	CC	nuclear cohesin complex	5
GO:0000799	CC	nuclear condensin complex	5
GO:0000800	CC	lateral element	6
GO:0000801	CC	central element	6
GO:0000802	CC	transverse filament	6
GO:0000803	CC	sex chromosome	6
GO:0000804	CC	W chromosome	7
GO:0000805	CC	X chromosome	7
GO:0000806	CC	Y chromosome	7
GO:0000807	CC	Z chromosome	7
GO:0000808	CC	origin recognition complex	4
GO:0000809	CC	cytoplasmic origin of replication recognition complex	5
GO:0000810	MF	diacylglycerol pyrophosphate phosphatase activity	7
GO:0000811	CC	GINS complex	4
GO:0000812	CC	Swr1 complex	5
GO:0000813	CC	ESCRT I complex	3
GO:0000814	CC	ESCRT II complex	3
GO:0000815	CC	ESCRT III complex	3
GO:0000817	CC	COMA complex	4
GO:0000818	CC	nuclear MIS12/MIND type complex	5
GO:0000819	BP	sister chromatid segregation	4
GO:0000820	BP	regulation of glutamine family amino acid metabolic process	6
GO:0000821	BP	regulation of arginine metabolic process	7
GO:0000822	MF	inositol hexakisphosphate binding	5
GO:0000823	MF	inositol-1,4,5-trisphosphate 6-kinase activity	7
GO:0000824	MF	inositol tetrakisphosphate 3-kinase activity	7
GO:0000825	MF	inositol tetrakisphosphate 6-kinase activity	7
GO:0000827	MF	inositol-1,3,4,5,6-pentakisphosphate kinase activity	6
GO:0000828	MF	inositol hexakisphosphate kinase activity	6
GO:0000829	MF	inositol heptakisphosphate kinase activity	6
GO:0000830	MF	inositol hexakisphosphate 4-kinase activity	7
GO:0000831	MF	inositol hexakisphosphate 6-kinase activity	7
GO:0000832	MF	inositol hexakisphosphate 5-kinase activity	7
GO:0000833	MF	inositol heptakisphosphate 4-kinase activity	7
GO:0000834	MF	inositol heptakisphosphate 6-kinase activity	7
GO:0000835	CC	ER ubiquitin ligase complex	3
GO:0000836	CC	Hrd1p ubiquitin ligase complex	4
GO:0000837	CC	Doa10p ubiquitin ligase complex	4
GO:0000838	CC	Hrd1p ubiquitin ligase ERAD-M complex	5
GO:0000839	CC	Hrd1p ubiquitin ligase ERAD-L complex	5
GO:0000900	MF	translation repressor activity, nucleic acid binding	4
GO:0000901	MF	translation repressor activity, non-nucleic acid binding	4
GO:0000902	BP	cell morphogenesis	5
GO:0000903	BP	regulation of cell shape during vegetative growth phase	4
GO:0000904	BP	cell morphogenesis involved in differentiation	5
GO:0000905	BP	sporocarp development involved in asexual reproduction	4
GO:0000906	MF	6,7-dimethyl-8-ribityllumazine synthase activity	6
GO:0000907	MF	sulfonate dioxygenase activity	6
GO:0000908	MF	taurine dioxygenase activity	6
GO:0000909	BP	sporocarp development involved in sexual reproduction	4
GO:0000910	BP	cytokinesis	3
GO:0000911	BP	cytokinesis by cell plate formation	5
GO:0000912	BP	assembly of actomyosin apparatus involved in cell cycle cytokinesis	4
GO:0000913	BP	preprophase band assembly	5
GO:0000914	BP	phragmoplast assembly	5
GO:0000915	BP	cytokinesis, actomyosin contractile ring assembly	5
GO:0000916	BP	contractile ring contraction involved in cell cycle cytokinesis	4
GO:0000917	BP	barrier septum assembly	4
GO:0000918	BP	barrier septum site selection	4
GO:0000919	BP	cell plate assembly	4
GO:0000920	BP	cytokinetic cell separation	4
GO:0000921	BP	septin ring assembly	7
GO:0000922	CC	spindle pole	5
GO:0000923	CC	equatorial microtubule organizing center	4
GO:0000924	CC	gamma-tubulin ring complex, centrosomal	7
GO:0000927	CC	gamma-tubulin small complex, centrosomal	6
GO:0000928	CC	gamma-tubulin small complex, spindle pole body	6
GO:0000930	CC	gamma-tubulin complex	4
GO:0000931	CC	gamma-tubulin large complex	5
GO:0000932	CC	cytoplasmic mRNA processing body	5
GO:0000933	CC	adventitious septum	4
GO:0000934	CC	porous cell septum	4
GO:0000935	CC	barrier septum	4
GO:0000936	CC	primary cell septum	4
GO:0000937	CC	dolipore septum	5
GO:0000938	CC	GARP complex	4
GO:0000939	CC	condensed chromosome inner kinetochore	4
GO:0000940	CC	condensed chromosome outer kinetochore	4
GO:0000941	CC	condensed nuclear chromosome inner kinetochore	5
GO:0000942	CC	condensed nuclear chromosome outer kinetochore	5
GO:0000943	CC	retrotransposon nucleocapsid	5
GO:0000944	MF	base pairing with rRNA	6
GO:0000945	MF	base pairing with snRNA	6
GO:0000946	MF	base pairing with tRNA	6
GO:0000947	BP	amino acid catabolic process to alcohol via Ehrlich pathway	6
GO:0000948	BP	amino acid catabolic process to carboxylic acid via Ehrlich pathway	7
GO:0000949	BP	aromatic amino acid family catabolic process to alcohol via Ehrlich pathway	7
GO:0000950	BP	branched chain family amino acid catabolic process to alcohol via Ehrlich pathway	7
GO:0000951	BP	methionine catabolic process to 3-methylthiopropanol	7
GO:0000952	BP	aromatic amino acid family catabolic process to carboxylic acid via Ehrlich pathway	7
GO:0000953	BP	branched chain family amino acid catabolic process to carboxylic acid via Ehrlich pathway	7
GO:0000954	BP	methionine catabolic process to 3-methylthiopropanoate	8
GO:0000955	BP	amino acid catabolic process via Ehrlich pathway	6
GO:0000956	BP	nuclear-transcribed mRNA catabolic process	8
GO:0000957	BP	mitochondrial RNA catabolic process	7
GO:0000958	BP	mitochondrial mRNA catabolic process	8
GO:0000959	BP	mitochondrial RNA metabolic process	6
GO:0000960	BP	regulation of mitochondrial RNA catabolic process	6
GO:0000961	BP	negative regulation of mitochondrial RNA catabolic process	6
GO:0000962	BP	positive regulation of mitochondrial RNA catabolic process	6
GO:0000963	BP	mitochondrial RNA processing	6
GO:0000964	BP	mitochondrial RNA 5'-end processing	7
GO:0000965	BP	mitochondrial RNA 3'-end processing	7
GO:0000966	BP	RNA 5'-end processing	6
GO:0000967	BP	rRNA 5'-end processing	8
GO:0000968	BP	tRNA exon ligation	7
GO:0000969	BP	tRNA exon ligation utilizing ATP as source of linkage phosphate	8
GO:0000970	BP	tRNA exon ligation utilizing GTP as source of linkage phosphate	8
GO:0000971	BP	tRNA exon ligation utilizing 2',3' cyclic phosphate of 5'-exon as source of linkage phosphate	8
GO:0000972	BP	transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery	7
GO:0000973	BP	posttranscriptional tethering of RNA polymerase II gene DNA at nuclear periphery	8
GO:0000974	CC	Prp19 complex	4
GO:0000975	MF	regulatory region DNA binding	5
GO:0000976	MF	transcription regulatory region sequence-specific DNA binding	6
GO:0000977	MF	RNA polymerase II regulatory region sequence-specific DNA binding	7
GO:0000978	MF	RNA polymerase II core promoter proximal region sequence-specific DNA binding	8
GO:0000979	MF	RNA polymerase II core promoter sequence-specific DNA binding	8
GO:0000980	MF	RNA polymerase II distal enhancer sequence-specific DNA binding	8
GO:0000981	MF	sequence-specific DNA binding RNA polymerase II transcription factor activity	4
GO:0000982	MF	RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity	5
GO:0000983	MF	RNA polymerase II core promoter sequence-specific DNA binding transcription factor activity	5
GO:0000984	MF	bacterial-type RNA polymerase regulatory region sequence-specific DNA binding	7
GO:0000985	MF	bacterial-type RNA polymerase core promoter sequence-specific DNA binding	8
GO:0000986	MF	bacterial-type RNA polymerase core promoter proximal region sequence-specific DNA binding	8
GO:0000987	MF	core promoter proximal region sequence-specific DNA binding	7
GO:0000988	MF	protein binding transcription factor activity	2
GO:0000989	MF	transcription factor binding transcription factor activity	3
GO:0000990	MF	core RNA polymerase binding transcription factor activity	3
GO:0000991	MF	core RNA polymerase II binding transcription factor activity	4
GO:0000992	MF	polymerase III regulatory region sequence-specific DNA binding	7
GO:0000993	MF	RNA polymerase II core binding	6
GO:0000994	MF	RNA polymerase III core binding	7
GO:0000995	MF	core RNA polymerase III binding transcription factor activity	4
GO:0000996	MF	core DNA-dependent RNA polymerase binding promoter specificity activity	4
GO:0000997	MF	mitochondrial RNA polymerase core promoter sequence-specific DNA binding	8
GO:0000999	BP	RNA polymerase III type 1 promoter transcriptional preinitiation complex assembly	9
GO:0001000	MF	bacterial-type RNA polymerase core enzyme binding	7
GO:0001001	MF	mitochondrial single-subunit type RNA polymerase binding	7
GO:0001002	MF	RNA polymerase III type 1 promoter sequence-specific DNA binding	8
GO:0001003	MF	RNA polymerase III type 2 promoter sequence-specific DNA binding	8
GO:0001004	MF	RNA polymerase III promoter sequence-specific DNA binding TFIIIB recruiting transcription factor activity	5
GO:0001005	MF	RNA polymerase III type 1 promoter sequence-specific DNA binding TFIIIB recruiting transcription factor activity	6
GO:0001006	MF	RNA polymerase III type 3 promoter sequence-specific DNA binding	8
GO:0001007	MF	RNA polymerase III transcription factor binding transcription factor activity	4
GO:0001008	MF	RNA polymerase III type 2 promoter sequence-specific DNA binding TFIIIB recruiting transcription factor activity	6
GO:0001009	BP	transcription from RNA polymerase III type 2 promoter	7
GO:0001010	MF	sequence-specific DNA binding transcription factor recruiting transcription factor activity	4
GO:0001011	MF	sequence-specific DNA binding RNA polymerase recruiting transcription factor activity	4
GO:0001012	MF	RNA polymerase II regulatory region DNA binding	7
GO:0001013	MF	RNA polymerase I regulatory region DNA binding	7
GO:0001014	BP	snoRNA transcription from a type 2 RNA polymerase III promoter	7
GO:0001015	BP	snoRNA transcription from an RNA polymerase II promoter	7
GO:0001016	MF	RNA polymerase III regulatory region DNA binding	7
GO:0001017	MF	bacterial-type RNA polymerase regulatory region DNA binding	7
GO:0001018	MF	mitochondrial RNA polymerase regulatory region DNA binding	7
GO:0001019	MF	plastid RNA polymerase regulatory region DNA binding	7
GO:0001020	BP	RNA polymerase III type 3 promoter transcriptional preinitiation complex assembly	9
GO:0001021	BP	RNA polymerase III type 2 promoter transcriptional preinitiation complex assembly	9
GO:0001022	BP	transcription initiation from RNA polymerase III type 1 promoter	8
GO:0001023	BP	transcription initiation from RNA polymerase III type 2 promoter	8
GO:0001024	BP	transcription initiation from RNA polymerase III type 3 promoter	8
GO:0001025	MF	RNA polymerase III transcription factor binding	5
GO:0001026	MF	TFIIIB-type transcription factor activity	5
GO:0001027	MF	RNA polymerase III type 1 promoter TFIIIB-type transcription factor activity	6
GO:0001028	MF	RNA polymerase III type 2 promoter TFIIIB-type transcription factor activity	6
GO:0001029	MF	RNA polymerase III type 3 promoter TFIIIB-type transcription factor activity	6
GO:0001030	MF	RNA polymerase III type 1 promoter DNA binding	8
GO:0001031	MF	RNA polymerase III type 2 promoter DNA binding	8
GO:0001032	MF	RNA polymerase III type 3 promoter DNA binding	8
GO:0001033	MF	RNA polymerase III type 3 promoter TFIIIB recruiting transcription factor activity	6
GO:0001034	MF	sequence-specific DNA binding RNA polymerase III transcription factor activity	4
GO:0001035	BP	transcription from RNA polymerase III type 3 promoter	7
GO:0001036	BP	transcription initiation from RNA polymerase III hybrid type promoter	8
GO:0001037	MF	RNA polymerase III hybrid type promoter DNA binding	8
GO:0001038	MF	RNA polymerase III hybrid type promoter TFIIIB recruiting transcription factor activity	6
GO:0001039	MF	RNA polymerase III hybrid type promoter sequence-specific DNA binding	8
GO:0001040	MF	RNA polymerase III hybrid type promoter TFIIIB-type transcription factor activity	6
GO:0001041	BP	transcription from a RNA polymerase III hybrid type promoter	7
GO:0001042	MF	RNA polymerase I core binding	7
GO:0001043	BP	RNA polymerase III hybrid type promoter transcriptional preinitiation complex assembly	9
GO:0001044	MF	mitochondrial RNA polymerase regulatory region sequence-specific DNA binding	7
GO:0001045	MF	mitochondrial RNA polymerase core promoter proximal region sequence-specific DNA binding	8
GO:0001046	MF	core promoter sequence-specific DNA binding	7
GO:0001047	MF	core promoter binding	7
GO:0001048	MF	RNA polymerase IV core binding	7
GO:0001049	MF	RNA polymerase V core binding	7
GO:0001050	MF	single-subunit type RNA polymerase binding	6
GO:0001051	MF	plastid single-subunit type RNA polymerase binding	7
GO:0001052	MF	plastid PEP RNA polymerase core enzyme binding	8
GO:0001053	MF	plastid sigma factor activity	6
GO:0001054	MF	RNA polymerase I activity	8
GO:0001055	MF	RNA polymerase II activity	8
GO:0001056	MF	RNA polymerase III activity	8
GO:0001057	MF	RNA polymerase IV activity	8
GO:0001058	MF	RNA polymerase V activity	8
GO:0001059	BP	transcription from RNA polymerase IV promoter	6
GO:0001060	BP	transcription from RNA polymerase V promoter	6
GO:0001061	MF	bacterial-type RNA polymerase activity	8
GO:0001062	MF	plastid PEP-A RNA polymerase activity	9
GO:0001063	MF	plastid PEP-B RNA polymerase activity	9
GO:0001064	MF	single subunit type RNA polymerase activity	8
GO:0001065	MF	mitochondrial single subunit type RNA polymerase activity	9
GO:0001066	MF	plastid single subunit type RNA polymerase activity	9
GO:0001067	MF	regulatory region nucleic acid binding	4
GO:0001068	MF	transcription regulatory region RNA binding	6
GO:0001069	MF	regulatory region RNA binding	5
GO:0001070	MF	RNA binding transcription factor activity	3
GO:0001071	MF	nucleic acid binding transcription factor activity	2
GO:0001072	MF	RNA binding transcription antitermination factor activity	4
GO:0001073	MF	DNA binding transcription antitermination factor activity	4
GO:0001074	MF	RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in preinitiation complex assembly	6
GO:0001075	MF	sequence-specific core promoter binding RNA polymerase II transcription factor activity involved in preinitiation complex assembly	6
GO:0001076	MF	RNA polymerase II transcription factor binding transcription factor activity	4
GO:0001077	MF	RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription	6
GO:0001078	MF	RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription	6
GO:0001079	BP	nitrogen catabolite regulation of transcription from RNA polymerase II promoter	5
GO:0001080	BP	nitrogen catabolite activation of transcription from RNA polymerase II promoter	6
GO:0001081	BP	nitrogen catabolite repression of transcription from RNA polymerase II promoter	6
GO:0001082	MF	RNA polymerase I transcription factor binding transcription factor activity	4
GO:0001083	MF	RNA polymerase II basal transcription factor binding transcription factor activity	5
GO:0001084	MF	TFIID-class binding transcription factor activity	6
GO:0001085	MF	RNA polymerase II transcription factor binding	5
GO:0001086	MF	TFIIA-class binding transcription factor activity	6
GO:0001087	MF	TFIIB-class binding transcription factor activity	6
GO:0001088	MF	TFIIE-class binding transcription factor activity	6
